iter	Passed	Remaining
0	0	168
1	1	183
2	2	170
3	3	180
4	4	181
5	5	186
6	5	180
7	6	175
8	7	177
9	8	178
10	9	179
11	10	179
12	11	181
13	12	181
14	13	181
15	14	181
16	15	180
17	15	179
18	16	179
19	17	179
20	18	179
21	19	179
22	20	178
23	21	176
24	22	175
25	23	175
26	24	174
27	25	173
28	26	173
29	27	172
30	28	171
31	29	171
32	30	170
33	31	169
34	31	168
35	32	168
36	33	167
37	34	166
38	35	165
39	36	165
40	37	164
41	38	164
42	39	163
43	40	162
44	41	161
45	42	161
46	43	160
47	44	159
48	45	158
49	46	157
50	47	156
51	48	156
52	49	155
53	50	154
54	51	154
55	52	153
56	53	152
57	54	151
58	55	150
59	56	149
60	57	148
61	58	148
62	59	147
63	60	146
64	61	145
65	62	144
66	63	144
67	64	143
68	64	142
69	65	141
70	66	140
71	67	139
72	68	138
73	69	137
74	70	136
75	71	135
76	72	135
77	73	134
78	74	133
79	75	132
80	76	131
81	77	130
82	78	129
83	79	128
84	80	128
85	81	127
86	82	126
87	83	125
88	84	124
89	85	123
90	86	122
91	87	121
92	88	120
93	89	119
94	90	118
95	91	117
96	92	116
97	93	115
98	94	115
99	94	113
100	95	113
101	97	112
102	97	111
103	98	110
104	99	109
105	100	108
106	101	107
107	102	106
108	103	105
109	104	104
110	105	104
111	106	103
112	107	102
113	108	101
114	109	100
115	110	99
116	111	98
117	112	97
118	113	96
119	114	95
120	115	94
121	116	93
122	117	92
123	118	91
124	119	90
125	120	89
126	121	89
127	122	88
128	123	87
129	124	86
130	125	85
131	126	84
132	127	83
133	128	82
134	129	81
135	130	80
136	131	79
137	132	78
138	133	77
139	134	76
140	135	75
141	136	74
142	136	73
143	137	72
144	138	71
145	139	70
146	140	69
147	141	68
148	142	68
149	143	67
150	144	66
151	145	65
152	146	64
153	147	63
154	148	62
155	149	61
156	150	60
157	151	59
158	152	58
159	153	57
160	154	56
161	155	55
162	156	54
163	157	53
164	158	52
165	159	51
166	160	50
167	161	49
168	162	49
169	163	48
170	164	47
171	165	46
172	166	45
173	167	44
174	168	43
175	169	42
176	170	41
177	171	40
178	172	39
179	173	38
180	174	37
181	175	36
182	176	35
183	177	34
184	178	33
185	179	32
186	180	31
187	181	30
188	182	29
189	183	28
190	184	27
191	185	26
192	186	26
193	187	25
194	188	24
195	189	23
196	190	22
197	191	21
198	192	20
199	193	19
200	194	18
201	195	17
202	196	16
203	197	15
204	197	14
205	198	13
206	200	12
207	201	11
208	202	10
209	203	9
210	204	8
211	204	7
212	205	6
213	206	5
214	207	4
215	208	3
216	209	2
217	210	1
218	211	0
219	212	0
