iter	Logloss
0	0.6535406123
1	0.6072898035
2	0.5739101844
3	0.5403706296
4	0.5183247238
5	0.4990514963
6	0.4854218221
7	0.4774516736
8	0.4709712204
9	0.4650618683
10	0.4566352827
11	0.4516066708
12	0.4456634548
13	0.4376470988
14	0.4346261344
15	0.4314314078
16	0.4256434913
17	0.4221545468
18	0.4202145417
19	0.4166509948
20	0.4153832561
21	0.4139420662
22	0.4125659375
23	0.4120861822
24	0.4106733112
25	0.4095932115
26	0.40893085
27	0.4067133239
28	0.4056585209
29	0.4046148428
30	0.4037692599
31	0.4032002202
32	0.4016351496
33	0.4009348919
34	0.4000512426
35	0.3984341812
36	0.3975448774
37	0.3968045552
38	0.394629062
39	0.392648461
40	0.3917923959
41	0.3914376006
42	0.3908014906
43	0.3901309078
44	0.3893468823
45	0.3883864456
46	0.3876045581
47	0.3868161156
48	0.3863407572
49	0.385924867
50	0.3854349494
51	0.3850797118
52	0.3846676622
53	0.3835461809
54	0.3824276693
55	0.3820242491
56	0.3814960295
57	0.3810984823
58	0.3802994477
59	0.3798431976
60	0.3793188115
61	0.3786476111
62	0.3783140832
63	0.3778222996
64	0.3763660224
65	0.3753227084
66	0.374724095
67	0.374102051
68	0.3731094967
69	0.3721950608
70	0.3707703808
71	0.3693108079
72	0.3686433832
73	0.3680734847
74	0.3664929492
75	0.3649165945
76	0.3634917945
77	0.3630410986
78	0.3612879266
79	0.3602323551
80	0.3597551399
81	0.3588501504
82	0.3577851749
83	0.3575356915
84	0.356958808
85	0.3562102105
86	0.3554008539
87	0.3550781565
88	0.3539681144
89	0.3534178432
90	0.3526147491
91	0.3514497166
92	0.3511272294
93	0.3509379041
94	0.3506783572
95	0.3497629712
96	0.3491847984
97	0.3483913359
98	0.3473876077
99	0.3468934434
100	0.3461759705
101	0.3454789631
102	0.3449034163
103	0.3445674297
104	0.3439903378
105	0.3427626245
106	0.3422159043
107	0.341714955
108	0.3411587056
109	0.3402799004
110	0.3396993612
111	0.339129739
112	0.3377891429
113	0.3366104639
114	0.3362932018
115	0.3356458393
116	0.3349816452
117	0.334069227
118	0.3335328038
119	0.3328770262
120	0.3321675684
121	0.3320294643
122	0.3313327907
123	0.3311789263
124	0.3307125899
125	0.3298545653
126	0.32893753
127	0.328547363
128	0.3281433561
129	0.3277472701
130	0.3270876465
131	0.3264162569
132	0.3258423503
133	0.3252223743
134	0.3249771659
135	0.3245312554
136	0.324171652
137	0.3227990156
138	0.3222012547
139	0.3213516107
140	0.3208265459
141	0.319473748
142	0.3190373807
143	0.3183096831
144	0.3178320764
145	0.3174114423
146	0.3168054019
147	0.3158942511
148	0.3153400949
149	0.3146353181
150	0.314227015
151	0.3137338115
152	0.3132351495
153	0.3125438954
154	0.3122153326
155	0.3114426916
156	0.3111348178
157	0.3101030646
158	0.3095142312
159	0.3086616431
160	0.3084103205
161	0.3075546838
162	0.3071815812
163	0.30670625
164	0.3063734062
165	0.3059104363
166	0.3054262977
167	0.3049915884
168	0.3039358748
169	0.3033265466
170	0.3030555724
171	0.3025938595
172	0.3021873716
173	0.3016590518
174	0.3012907784
175	0.3004734927
176	0.2999876806
177	0.2993255833
178	0.2990106341
179	0.2986193109
180	0.2985620771
181	0.2977811993
182	0.2973998981
183	0.2971127242
184	0.2961850148
185	0.2954330187
186	0.2952270941
187	0.2944192573
188	0.2936633769
189	0.2934280858
190	0.293274251
191	0.2930249364
192	0.2927607366
193	0.2916282924
194	0.2907606579
195	0.290159558
196	0.2898106763
197	0.289373155
198	0.2890231639
199	0.2880762645
200	0.2879419954
201	0.287544977
202	0.2871998772
203	0.2864846106
204	0.2859745522
205	0.2854470883
206	0.2850132805
207	0.2845240361
208	0.2840465285
209	0.283804869
210	0.2835075779
211	0.2832248776
212	0.2827072483
213	0.2824038342
214	0.2820613708
215	0.2814156449
216	0.2812404407
217	0.281148632
218	0.2809523527
219	0.2808017971
